fid,Nom,commune,type_pasto,period,ndvi,savi,MSAVI,evi,ndre,ndwi,.geo
9,P3-SDT,Pontones,SDT,2018_AJ,0.2864721563,0.1880808072,0.4434297578,0.2393611291,0.1966807692,-0.0825726751,"{""type"":""Polygon"",""coordinates"":[[[-2.749499530405241,38.01910715016752],[-2.7493925513942554,38.01854978683237],[-2.7490669844035347,38.01804585523298],[-2.748567629151363,38.01764459163608],[-2.7479299472191654,38.017390366003525],[-2.7472298660818577,38.01729674447769],[-2.746525316039997,38.017385944968154],[-2.7458876617990167,38.01764008392975],[-2.7453837851672147,38.01803694360515],[-2.74505824592625,38.01854086355647],[-2.744942318667048,38.019098253017155],[-2.745053842659054,38.01965559219423],[-2.745374902653354,38.02015502852679],[-2.7458787791899777,38.020556347092715],[-2.7465119539860217,38.02081495342367],[-2.747216503827699,38.02090419175313],[-2.7479209883013533,38.02081499194179],[-2.74855419059308,38.02056079528271],[-2.749062580760994,38.02016391226243],[-2.7493880717958414,38.019664514637626],[-2.749499530405241,38.01910715016752]]]}"
10,P2-SDT,Pontones,SDT,2018_AJ,0.2995087679,0.1889470808,0.4571456159,0.2427341643,0.2097273195,-0.07275063887,"{""type"":""Polygon"",""coordinates"":[[[-2.737326212807987,38.04717270170944],[-2.7372147071479263,38.046615337352755],[-2.7368937028821794,38.04611147554512],[-2.736389770838072,38.045714631875825],[-2.7357565805611443,38.045455992463694],[-2.7350520506533877,38.04536680672487],[-2.7343475313095316,38.04545147099768],[-2.733709890448711,38.04570569229886],[-2.733205992550175,38.04610702611643],[-2.7328804617460447,38.04660643700151],[-2.73276456452,38.04716383146076],[-2.732875983720866,38.04772119885391],[-2.733197036438188,38.04822505939459],[-2.7337009342406597,38.04862642047549],[-2.734334172716853,38.04888053941394],[-2.7350386918604,38.04896972378941],[-2.7357432215678523,38.048884977535145],[-2.736380890023573,38.04863083630797],[-2.7368847460672425,38.04823402235818],[-2.7372102287096522,38.04773009661849],[-2.737326212807987,38.04717270170944]]]}"
17,P1-SDT,Pontones,SDT,2018_AJ,0.3476392162,0.2344962384,0.5076134068,0.3019359844,0.2393138064,-0.05068475124,"{""type"":""Polygon"",""coordinates"":[[[-2.6641924925323384,38.08763017139947],[-2.66408100917647,38.08707272725222],[-2.6637599749752,38.086568873218575],[-2.6632605422995317,38.086172007594506],[-2.6626228829057026,38.08591339430471],[-2.661918315014161,38.08582423940723],[-2.6612138335295445,38.08590891670998],[-2.660576126285225,38.08616309917404],[-2.6600722565686423,38.086559955798236],[-2.6597467788691667,38.08705937602029],[-2.6596308350909306,38.08761679496165],[-2.6597378367897533,38.08817417995798],[-2.6600633902077893,38.088678012528526],[-2.6605627887103003,38.08907931229436],[-2.6612004199898713,38.08933800516203],[-2.6619049770560816,38.089427158716425],[-2.662609468961514,38.089342399529585],[-2.663247128172292,38.089088298868326],[-2.663751032127702,38.088691442652596],[-2.664076537721791,38.088187508385005],[-2.6641924925323384,38.08763017139947]]]}"
3,S3-SDT,Santiago,SDT,2018_AJ,0.2251980715,0.153347544,0.3661268613,0.1927708947,0.1557592551,-0.1248653218,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
4,S2-SDT,Santiago,SDT,2018_AJ,0.2391923761,0.1713265602,0.3837606587,0.2096543464,0.1613090191,-0.1055053805,"{""type"":""Polygon"",""coordinates"":[[[-2.7136795792621053,37.97688390314467],[-2.7135681297465197,37.97632649398415],[-2.7132470595113047,37.97582267676586],[-2.7127431536158624,37.97542134038773],[-2.7121099787245577,37.97516268293008],[-2.711405424284026,37.975073478489556],[-2.7107053563373515,37.9751582028576],[-2.7100677331062237,37.9754168978859],[-2.709563861368107,37.97581376510221],[-2.7092383427730207,37.97631313500665],[-2.7091223521906733,37.97687052082832],[-2.709233867002913,37.9774279295593],[-2.709554909766181,37.97793182808346],[-2.710054305559701,37.97833310541364],[-2.71069200447113,37.97858729646296],[-2.711392072218501,37.97868096312632],[-2.712096626458462,37.97859177389346],[-2.7127342772732663,37.97833760075441],[-2.713238107206369,37.97794073557917],[-2.713563653563199,37.97743684430229],[-2.7136795792621053,37.97688390314467]]]}"
5,S1-SDT,Santiago,SDT,2018_AJ,0.2651299439,0.1738945794,0.4162278982,0.219066078,0.182366287,-0.07762241053,"{""type"":""Polygon"",""coordinates"":[[[-2.705131510267539,38.042789460261396],[-2.7050244805799033,38.04223199757915],[-2.7046989934991412,38.04172818940697],[-2.7041995030384407,38.04133131437957],[-2.7035618924254403,38.04107266100492],[-2.7028617898819904,38.040983494746364],[-2.7021572985502837,38.041068212858605],[-2.701519639869889,38.04132236001071],[-2.7010113091661494,38.04171925158707],[-2.7006857741064185,38.04222313164752],[-2.700574279626814,38.042780519570314],[-2.700681299152809,38.04333346531765],[-2.701002359197184,38.043837294206064],[-2.701506214771467,38.04423866686899],[-2.7021393981763584,38.044497258608246],[-2.7028439650891727,38.04458640166909],[-2.7035485425933348,38.04450168055604],[-2.704186153024742,38.04424753458037],[-2.7046945181623485,38.04384620593592],[-2.7050200052120403,38.04334684670857],[-2.705131510267539,38.042789460261396]]]}"
12,C1-LDT,Castril,LDT,2019_AJ,0.2189756812,0.1630066482,0.3565831681,0.2046771456,0.1474491069,-0.08244746025,"{""type"":""Polygon"",""coordinates"":[[[-2.725830605509812,37.95350041897533],[-2.7257236044776105,37.952942972546],[-2.72540252695744,37.95243909636853],[-2.7248987181814694,37.95203783037809],[-2.7242655310261075,37.951779143858104],[-2.723560945818261,37.95168997410831],[-2.7228564470677905,37.95177917426426],[-2.722223211576138,37.95203330791154],[-2.7217193610384074,37.952430191927206],[-2.721393833973578,37.9529295975329],[-2.721277889214633,37.95348701826969],[-2.7213893570436682,37.954044362647934],[-2.721710407116918,37.954548239396225],[-2.7222098564318653,37.95494960484095],[-2.722847492929398,37.955203743995654],[-2.7235475902933977,37.95529737790222],[-2.7242520994160047,37.95520825743555],[-2.7248897636535427,37.954954021639125],[-2.7253936482200563,37.954557218682034],[-2.725719127134772,37.954053291924424],[-2.725830605509812,37.95350041897533]]]}"
13,C3-LDT,Castril,LDT,2019_AJ,0.2073577764,0.1508531065,0.3425725586,0.1798800902,0.1357371102,-0.1341464842,"{""type"":""Polygon"",""coordinates"":[[[-2.710183650164876,37.96319892741927],[-2.7100722089559213,37.96264156282385],[-2.709751086789866,37.96214215645134],[-2.7092472184539904,37.96174080023015],[-2.708614014899533,37.96148214848903],[-2.707913988622695,37.96139295760651],[-2.707209421362662,37.96147769558862],[-2.706571769810659,37.961731896499074],[-2.7060679356385813,37.96212874362122],[-2.7057423654581485,37.96263264615655],[-2.70562645937861,37.9631899768165],[-2.7057379658766,37.96374742172327],[-2.7060589847040473,37.96425127296221],[-2.706562894636118,37.964648103931346],[-2.7071960704918148,37.96490675457603],[-2.7078961619088022,37.96499594236626],[-2.708600663628742,37.96491120483918],[-2.7092383427730207,37.96465708408435],[-2.709742211013529,37.964260156502135],[-2.7100677331062237,37.963756337569876],[-2.710183650164876,37.96319892741927]]]}"
11,C2-LDT,Castrils,LDT,2019_AJ,0.2177150387,0.1655590324,0.3560802659,0.205167471,0.1440606933,-0.09289310569,"{""type"":""Polygon"",""coordinates"":[[[-2.7279977703843663,37.94338715872161],[-2.7278907644136865,37.94282979366631],[-2.7275696720744693,37.94233037277061],[-2.72706584004513,37.94192905505016],[-2.7264326236640017,37.94167042030371],[-2.725728081820878,37.94158124561645],[-2.725023550549542,37.941665944026845],[-2.7243903617105967,37.94192456593408],[-2.7238864879118685,37.94232143437047],[-2.723560945818261,37.94282083692049],[-2.72344499570637,37.943378260166355],[-2.7235564686816627,37.94393560385644],[-2.723877533577004,37.94443946914525],[-2.724377005949775,37.944840805608706],[-2.7250101946085925,37.94509499560664],[-2.725714725679513,37.94518861262665],[-2.7264192673222256,37.94509946922039],[-2.7270568851038948,37.944845269772145],[-2.7275607929272945,37.944448401601235],[-2.7278862868642006,37.94394455802527],[-2.7279977703843663,37.94338715872161]]]}"
6,P1-LDT,Pontones,LDT,2019_AJ,0.2755021223,0.193859499,0.4288259001,0.24105108,0.1820914398,-0.0777195512,"{""type"":""Polygon"",""coordinates"":[[[-2.7426102448154444,38.02602318084773],[-2.7424987266194414,38.025465810266155],[-2.7421776862645983,38.02496196627415],[-2.7416738493902115,38.02456065728819],[-2.7410406638325076,38.02430195929509],[-2.7403361306177096,38.0242127697421],[-2.739631532053007,38.02430200469626],[-2.7389983740058037,38.02455614085634],[-2.7384900167404975,38.02495303810783],[-2.7381645252343914,38.02545245140642],[-2.73805301758526,38.02600983886908],[-2.7381600467056035,38.026567234010244],[-2.7384855381806923,38.02707105529066],[-2.7389850140909404,38.02747238369297],[-2.7396226506259023,38.02773105724765],[-2.7403271731467016,38.02782024540459],[-2.741031706227242,38.02773101110405],[-2.7416648916642914,38.02747687440057],[-2.7421732073534217,38.02707997909132],[-2.742498726619441,38.026576128457705],[-2.7426102448154444,38.02602318084773]]]}"
7,P3-LDT,Pontones,LDT,2019_AJ,0.2454185034,0.169918997,0.3928685576,0.2150837884,0.168284925,-0.09980858959,"{""type"":""Polygon"",""coordinates"":[[[-2.7399883087176637,38.031258155525784],[-2.739876796741542,38.03070082468899],[-2.7395557742927883,38.030201369464976],[-2.7390518896119462,38.02980008209703],[-2.7384186634655485,38.02954147296168],[-2.7377141695520866,38.02945227552974],[-2.7370096102938937,38.029536970284084],[-2.7363719333063803,38.029791179763556],[-2.7358680827612676,38.03019245145592],[-2.7355425335120707,38.0306919027378],[-2.7354311079873272,38.03124924403028],[-2.7355381311361886,38.031806679983944],[-2.7358591261418175,38.03231057381375],[-2.736363052495251,38.0327118591029],[-2.736996250944373,38.03296602917576],[-2.737700734095752,38.03305522524678],[-2.73840530371547,38.03297044848818],[-2.7390429323856775,38.03271632085013],[-2.7395468169704946,38.03231948760988],[-2.739872318049591,38.03181560110538],[-2.7399883087176637,38.031258155525784]]]}"
8,P2-LDT,Pontones,LDT,2019_AJ,0.2851303493,0.1843635048,0.4415374412,0.2297944394,0.1972198857,-0.0784052111,"{""type"":""Polygon"",""coordinates"":[[[-2.7532451639713607,38.03185124314763],[-2.753138176442469,38.03129382820343],[-2.7528126594599884,38.030790003377504],[-2.7523132644458554,38.030388674583065],[-2.751675607664704,38.03013452117373],[-2.7509710669561613,38.03004088710255],[-2.750266536799009,38.03013001685811],[-2.7496333114554616,38.030384190616765],[-2.749124991043807,38.03078109831754],[-2.74879950182946,38.03128493440179],[-2.748687968954586,38.03184236261474],[-2.7487995018294606,38.03239975321879],[-2.7491205114708683,38.03289916449324],[-2.749624428138974,38.033300467361435],[-2.7502575774361353,38.03355908150495],[-2.7509621074591077,38.0336482760968],[-2.7516666480334715,38.033559064534124],[-2.752299824817489,38.0333048920024],[-2.752808179535891,38.0329080651718],[-2.753133696487375,38.032408668098],[-2.7532451639713607,38.03185124314763]]]}"
1,S3-LDT,Santiago,LDT,2019_AJ,0.2234231975,0.155749068,0.36416877,0.1980746363,0.1522625053,-0.1177701336,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
2,S2-LDT,Santiago,LDT,2019_AJ,0.2331654125,0.168155425,0.3730443167,0.2064138676,0.1601047737,-0.0791084364,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
14,C2-SDT,Castril,SDT,2019_AJ,0.2927661609,0.20254993,0.4486403743,0.2555386498,0.1973482629,-0.05721582702,"{""type"":""Polygon"",""coordinates"":[[[-2.690313903455392,37.96221345706403],[-2.690202433659333,37.96165606029509],[-2.689881371797622,37.96115222373094],[-2.6893819634613974,37.96075091284091],[-2.688748724990035,37.960496752519205],[-2.6880442183935482,37.96040310014195],[-2.687339646573184,37.96049224458651],[-2.68670651154875,37.96074640264789],[-2.6861981141140228,37.96114327823518],[-2.685872606172614,37.961642694139634],[-2.6857611469505036,37.9622000795345],[-2.6858682084567773,37.96275749688142],[-2.6861892427984047,37.963261333992406],[-2.6866930906954036,37.963662704218635],[-2.68732630136337,37.96392130621645],[-2.68803087298289,37.964010512775445],[-2.6887353793785627,37.963925730746915],[-2.689368541841078,37.96366712961534],[-2.689872423954878,37.96327027708016],[-2.6901979597070675,37.962770862148936],[-2.690313903455392,37.96221345706403]]]}"
15,C1-SDT,Castril,SDT,2019_AJ,0.2430154258,0.176984844,0.3894964329,0.221925062,0.1646667503,-0.08006947188,"{""type"":""Polygon"",""coordinates"":[[[-2.687495770645575,37.957709806994714],[-2.687384231733557,37.95715237132172],[-2.6870631891967687,37.95664849192795],[-2.68656381092094,37.95625166399555],[-2.685926137022607,37.955993046965126],[-2.685226070557087,37.955903873341384],[-2.684521541151982,37.95598856120225],[-2.683883895075364,37.95624274147504],[-2.6833800015979743,37.95663960879266],[-2.6830545132544716,37.95714349230411],[-2.682938511666622,37.95769641097865],[-2.683050039985297,37.958253767176394],[-2.6833710549978282,37.958757647116926],[-2.683874948378894,37.95915897583406],[-2.6845081209250905,37.95941761279442],[-2.6852082524743555,37.959506783352985],[-2.6859127922157464,37.95942209421578],[-2.686550390108505,37.959167915059766],[-2.687054317717212,37.9587710480547],[-2.6873798338757156,37.95826716562961],[-2.687495770645575,37.957709806994714]]]}"
16,C3-SDT,Castril,SDT,2019_AJ,0.2485662081,0.1775118859,0.3958761166,0.2226178107,0.1707931504,-0.07961308873,"{""type"":""Polygon"",""coordinates"":[[[-2.723329045880869,37.92652284318435],[-2.7232220505498885,37.92596541485329],[-2.7229009901375485,37.925461570032894],[-2.722397132324615,37.92506020931855],[-2.721763903029162,37.92480164128824],[-2.7210638322675376,37.92471246867435],[-2.7203592951160127,37.9248015989647],[-2.7197216924196943,37.92505574937775],[-2.7192177928586947,37.92545261175109],[-2.7188922831441884,37.92595204110526],[-2.718780821245733,37.926509413223705],[-2.7188878064528983,37.927066842702665],[-2.71920883941444,37.92757068811087],[-2.719712738879303,37.92797204681794],[-2.7203459405020807,37.9282306945759],[-2.721050477453139,37.92831984348742],[-2.7217505480155686,37.92823065365611],[-2.7223881782738406,37.92797650257949],[-2.722892111873254,37.927579640458234],[-2.72321757344561,37.92708021380612],[-2.723329045880869,37.92652284318435]]]}"
9,P3-SDT,Pontones,SDT,2019_AJ,0.2784215149,0.1898884438,0.4331777918,0.237491888,0.1908568711,-0.05521758986,"{""type"":""Polygon"",""coordinates"":[[[-2.749499530405241,38.01910715016752],[-2.7493925513942554,38.01854978683237],[-2.7490669844035347,38.01804585523298],[-2.748567629151363,38.01764459163608],[-2.7479299472191654,38.017390366003525],[-2.7472298660818577,38.01729674447769],[-2.746525316039997,38.017385944968154],[-2.7458876617990167,38.01764008392975],[-2.7453837851672147,38.01803694360515],[-2.74505824592625,38.01854086355647],[-2.744942318667048,38.019098253017155],[-2.745053842659054,38.01965559219423],[-2.745374902653354,38.02015502852679],[-2.7458787791899777,38.020556347092715],[-2.7465119539860217,38.02081495342367],[-2.747216503827699,38.02090419175313],[-2.7479209883013533,38.02081499194179],[-2.74855419059308,38.02056079528271],[-2.749062580760994,38.02016391226243],[-2.7493880717958414,38.019664514637626],[-2.749499530405241,38.01910715016752]]]}"
10,P2-SDT,Pontones,SDT,2019_AJ,0.3044130546,0.1962297154,0.4628845246,0.2500433205,0.2105020523,-0.05707467098,"{""type"":""Polygon"",""coordinates"":[[[-2.737326212807987,38.04717270170944],[-2.7372147071479263,38.046615337352755],[-2.7368937028821794,38.04611147554512],[-2.736389770838072,38.045714631875825],[-2.7357565805611443,38.045455992463694],[-2.7350520506533877,38.04536680672487],[-2.7343475313095316,38.04545147099768],[-2.733709890448711,38.04570569229886],[-2.733205992550175,38.04610702611643],[-2.7328804617460447,38.04660643700151],[-2.73276456452,38.04716383146076],[-2.732875983720866,38.04772119885391],[-2.733197036438188,38.04822505939459],[-2.7337009342406597,38.04862642047549],[-2.734334172716853,38.04888053941394],[-2.7350386918604,38.04896972378941],[-2.7357432215678523,38.048884977535145],[-2.736380890023573,38.04863083630797],[-2.7368847460672425,38.04823402235818],[-2.7372102287096522,38.04773009661849],[-2.737326212807987,38.04717270170944]]]}"
17,P1-SDT,Pontones,SDT,2019_AJ,0.3586089314,0.2448035094,0.5184838222,0.321808182,0.2368086918,-0.01849217916,"{""type"":""Polygon"",""coordinates"":[[[-2.6641924925323384,38.08763017139947],[-2.66408100917647,38.08707272725222],[-2.6637599749752,38.086568873218575],[-2.6632605422995317,38.086172007594506],[-2.6626228829057026,38.08591339430471],[-2.661918315014161,38.08582423940723],[-2.6612138335295445,38.08590891670998],[-2.660576126285225,38.08616309917404],[-2.6600722565686423,38.086559955798236],[-2.6597467788691667,38.08705937602029],[-2.6596308350909306,38.08761679496165],[-2.6597378367897533,38.08817417995798],[-2.6600633902077893,38.088678012528526],[-2.6605627887103003,38.08907931229436],[-2.6612004199898713,38.08933800516203],[-2.6619049770560816,38.089427158716425],[-2.662609468961514,38.089342399529585],[-2.663247128172292,38.089088298868326],[-2.663751032127702,38.088691442652596],[-2.664076537721791,38.088187508385005],[-2.6641924925323384,38.08763017139947]]]}"
3,S3-SDT,Santiago,SDT,2019_AJ,0.238794277,0.1639253727,0.3839561011,0.2030120259,0.1595850662,-0.1102001515,"{""type"":""Polygon"",""coordinates"":[[[-2.727413642177116,37.97410592079794],[-2.727302160043686,37.973548506690896],[-2.72698107172917,37.97304462936136],[-2.7264771701268233,37.97264333758763],[-2.7258440375715076,37.97238910463044],[-2.725139504560205,37.97229545523547],[-2.724439383456184,37.97238470620206],[-2.723801725335862,37.97263888067273],[-2.7232978578549565,37.97303573828131],[-2.7229723198432545,37.97353960458033],[-2.72285644706779,37.97409249700229],[-2.7229679186455082,37.97464991243092],[-2.723288979515599,37.97515379031836],[-2.723792846901213,37.97555508179706],[-2.724426027681417,37.97581375377593],[-2.725126072700062,37.975902901748],[-2.725830605509812,37.97581370963021],[-2.72646829118623,37.975559534525516],[-2.726972192693291,37.97516267720749],[-2.7272976825503235,37.97466325547487],[-2.727413642177116,37.97410592079794]]]}"
4,S2-SDT,Santiago,SDT,2019_AJ,0.2125457231,0.1540247045,0.3477860097,0.1914223698,0.142852497,-0.109191714,"{""type"":""Polygon"",""coordinates"":[[[-2.7136795792621053,37.97688390314467],[-2.7135681297465197,37.97632649398415],[-2.7132470595113047,37.97582267676586],[-2.7127431536158624,37.97542134038773],[-2.7121099787245577,37.97516268293008],[-2.711405424284026,37.975073478489556],[-2.7107053563373515,37.9751582028576],[-2.7100677331062237,37.9754168978859],[-2.709563861368107,37.97581376510221],[-2.7092383427730207,37.97631313500665],[-2.7091223521906733,37.97687052082832],[-2.709233867002913,37.9774279295593],[-2.709554909766181,37.97793182808346],[-2.710054305559701,37.97833310541364],[-2.71069200447113,37.97858729646296],[-2.711392072218501,37.97868096312632],[-2.712096626458462,37.97859177389346],[-2.7127342772732663,37.97833760075441],[-2.713238107206369,37.97794073557917],[-2.713563653563199,37.97743684430229],[-2.7136795792621053,37.97688390314467]]]}"
5,S1-SDT,Santiago,SDT,2019_AJ,0.2696357644,0.1786694191,0.4215663208,0.2248508982,0.1818099819,-0.06550083869,"{""type"":""Polygon"",""coordinates"":[[[-2.705131510267539,38.042789460261396],[-2.7050244805799033,38.04223199757915],[-2.7046989934991412,38.04172818940697],[-2.7041995030384407,38.04133131437957],[-2.7035618924254403,38.04107266100492],[-2.7028617898819904,38.040983494746364],[-2.7021572985502837,38.041068212858605],[-2.701519639869889,38.04132236001071],[-2.7010113091661494,38.04171925158707],[-2.7006857741064185,38.04222313164752],[-2.700574279626814,38.042780519570314],[-2.700681299152809,38.04333346531765],[-2.701002359197184,38.043837294206064],[-2.701506214771467,38.04423866686899],[-2.7021393981763584,38.044497258608246],[-2.7028439650891727,38.04458640166909],[-2.7035485425933348,38.04450168055604],[-2.704186153024742,38.04424753458037],[-2.7046945181623485,38.04384620593592],[-2.7050200052120403,38.04334684670857],[-2.705131510267539,38.042789460261396]]]}"
